식품인증업소 관리 일련번호,업소번호,업소 명,자치구 코드,자치구 명,업종 코드,업종 명,업태 코드,업태 명,업주 명,식품인증구분,식품인증 구분명,인증일자,사용여부,지도표시여부,식품인증업소 등급,지도 Y좌표,지도 X좌표,전화번호,도로명상세주소,도로명주소코드,도로명주소,허가번호,최초작성일자,최종수정일자,업소인증메뉴,교부번호,인증여부
18577,,에티컬테이블,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.572008,126.993432,0507-1352-7625,,,서울특별시 종로구 서울 종로구 서순라길 27-5 영보빌딩 1층,0,00:00.0,00:00.0,,,Y
18496,,발우공양,3000000,종로구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5738677,126.983184,02-733-2081,,,"서울특별시 종로구 서울특별시 종로구 우정국로 56, 템플스테이 통합정보센터 5층 ",0,00:00.0,00:00.0,,,Y
18520,,오베흐트,3010000,중구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5581158,126.981085,0507-1411-6404,,,서울특별시 중구 서울특별시 중구 퇴계로10길 34 ,0,00:00.0,00:00.0,,,Y
18504,,히든젬,3010000,중구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5584363,126.984564,0507-1369-8022,,,서울특별시 중구 서울 중구 소공로6길 28 1층,0,00:00.0,00:00.0,,,Y
18503,,코코너즘,3010000,중구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.560349,126.995061,070-8805-9756,,,서울특별시 중구 서울 중구 퇴계로36길 32 코코너즘,0,00:00.0,00:00.0,,,Y
18561,,그라운드125,3010000,중구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5561017,127.010308,0507-1485-1269,,,서울특별시 중구 서울 중구 동호로14길 7 비에스빌딩 2층,0,00:00.0,00:00.0,,,Y
18560,,넬보스코 남촌빵집,3010000,중구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.558697,126.979681,0507-1423-9401,,,서울특별시 중구 서울 중구 퇴계로8길 16 1층,0,00:00.0,00:00.0,,,Y
18506,,온더무브,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5671132,126.997689,,,,"서울특별시 중구 서울 중구 창경궁로5길 5 을지공간 건물 3, 5층",0,00:00.0,00:00.0,,,Y
18510,,지금 여기가 맨 앞,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.565694,126.995242,0507-1346-3759,,,서울특별시 중구 서울 중구 을지로20길 16 3층,0,00:00.0,00:00.0,,,Y
18562,,에이투지휴게음식점,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5684143,126.978283,0507-1427-5129,,,서울특별시 중구 서울 중구 세종대로 136 SFC몰 F&B 지하2층 220호,0,00:00.0,00:00.0,,,Y
18553,,죠티인도레스토랑,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5613157,126.997938,0507-1400-7305,,,서울특별시 중구 서울 중구 서애로 12-4 고려빌딩,0,00:00.0,00:00.0,,,Y
18554,,목멱산방,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5581131,126.986887,02-318-4790,,,서울특별시 중구 서울 중구 퇴계로20길 71 1층 목멱산방,0,00:00.0,00:00.0,,,Y
18559,,브레라,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5483844,127.006943,02-2236-0770,,,서울특별시 중구 서울 중구 동호로17길 295 대명빌딩2층,0,00:00.0,00:00.0,,,Y
18558,,적수방,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.559716,127.004871,,,,서울특별시 중구 서울 중구 동호로24길 7-6 지하1층,0,00:00.0,00:00.0,,,Y
18557,,비건키친,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5592634,126.985975,02-777-8819,,,서울특별시 중구 서울 중구 퇴계로20길 21 1층,0,00:00.0,00:00.0,,,Y
18550,,고사리 익스프레스,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.56627,127.020009,02-2039-3140,,,서울특별시 중구 서울 중구 퇴계로85길 12-10 1층,0,00:00.0,00:00.0,,,Y
18569,,구르카 인도레스토랑,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.563068,126.985185,02-775-8860,,,서울특별시 중구 서울 중구 명동10길 16-1 지상 5층 구르카,0,00:00.0,00:00.0,,,Y
18567,,빠르크 정동점,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5632542,126.97203,0507-1326-2022,,,서울특별시 중구 서울 중구 서소문로 89-20 1동 1층 105호,0,00:00.0,00:00.0,,,Y
18566,,페이퍼파스타by을지로그랑블루,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5638685,126.993797,0507-1485-1091,,,서울특별시 중구 서울 중구 마른내로4길 10 . 1층,0,00:00.0,00:00.0,,,Y
18564,,강가,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5684143,126.978283,02-3783-0610,,,서울특별시 중구 서울 중구 세종대로 136 서울파이낸스센터,0,00:00.0,00:00.0,,,Y
18563,,아그라 센터원점,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.567343,126.985144,0507-1327-8977,,,서울특별시 중구 서울 중구 을지로5길 26 미래에셋빌딩 지하2층,0,00:00.0,00:00.0,,,Y
18571,,홍밀밀,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5632795,126.987307,070-4158-9811,,,서울특별시 중구 서울 중구 명동길 74 명동성당 가톨릭회관 신관 B-105호,0,00:00.0,00:00.0,,,Y
18499,,어쩌다농부 충무로점,3010000,중구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5626254,126.991243,0507-1363-3738,,,서울특별시 중구 서울 중구 퇴계로27길 33 1층,0,00:00.0,00:00.0,,,Y
18498,,굿니스클럽,3020000,용산구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5449842,126.984936,0507-1364-5084,,,서울특별시 용산구 서울 용산구 신흥로 99-9 지층,0,00:00.0,00:00.0,,,Y
18574,,홀트,3020000,용산구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.53818,126.964843,0507-1487-3319,,,서울특별시 용산구 서울 용산구 백범로 324 1층,0,00:00.0,00:00.0,,,Y
18570,,빵어니스타 이태원점,3020000,용산구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.533005,126.994126,0507-1335-7769,,,"서울특별시 용산구 서울 용산구 보광로55길 3 1층, 2층",0,00:00.0,00:00.0,,,Y
18582,,노노샵,3020000,용산구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5310625,126.995842,0507-1465-1072,,,서울특별시 용산구 서울 용산구 보광로 90 202호,0,00:00.0,00:00.0,,,Y
18507,,카무플라주,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5336356,126.993565,0507-1446-3224,,,"서울특별시 용산구 서울특별시 용산구 이태원로26길 19, 2층 ",0,00:00.0,00:00.0,,,Y
18513,,휴게음식점 시바,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5429582,126.972821,0507-1352-1339,,,서울특별시 용산구 서울특별시 용산구 한강대로 276-1 ,0,00:00.0,00:00.0,,,Y
18525,,브레게티,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5338375,126.99428,0507-1430-5331,,,"서울특별시 용산구 서울특별시 용산구 보광로 124, 2층 ",0,00:00.0,00:00.0,,,Y
18526,,바이두부,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5460966,126.985189,0507-1378-7019,,,서울특별시 용산구 서울특별시 용산구 소월로20길 10 ,0,00:00.0,00:00.0,,,Y
18580,,비비스베지,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.540852,126.991994,0507-1447-1312,,,서울특별시 용산구 서울 용산구 회나무로13가길 42 . 1층,0,00:00.0,00:00.0,,,Y
18527,,흠마켓,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.54188,126.986625,,,,서울특별시 용산구 서울특별시 용산구 신흥로5길 8 ,0,00:00.0,00:00.0,,,Y
18528,,몽크스부처,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5354565,126.99923,02-790-1108,,,서울특별시 용산구 서울특별시 용산구 이태원로 228-1,0,00:00.0,00:00.0,,,Y
18532,,플랜트 (PLANT),3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5331217,126.99423,02-749-1981,,,서울특별시 용산구 서울특별시 용산구 보광로 117 ,0,00:00.0,00:00.0,,,Y
18539,,레이지 파머스,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.540413,126.9934,0507-1419-6301,,,"서울특별시 용산구 서울특별시 용산구 회나무로35길 5, A동",0,00:00.0,00:00.0,,,Y
18540,,베제투스,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.543698,126.98726,070-8824-5959,,,서울특별시 용산구 서울특별시 용산구 신흥로 59,0,00:00.0,00:00.0,,,Y
18541,,베지위켄드,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5344821,127.007516,0507-1350-6553,,,"서울특별시 용산구 서울특별시 용산구 한남대로 60, 1층 디101, 디102호",0,00:00.0,00:00.0,,,Y
18486,,리틀갱스터,3020000,용산구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5394959,126.957227,,,,서울특별시 용산구 서울특별시 용산구새창로12갈11-3 1층,0,00:00.0,00:00.0,,,Y
18544,,로컬릿,3030000,성동구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.540915,127.014742,0507-1354-3399,,,"서울특별시 성동구 서울특별시 성동구 한림말길 33, 2층",0,00:00.0,00:00.0,,,Y
18565,,초록뜰식당,3050000,동대문구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5885364,127.062818,02-2243-7733,,,서울특별시 동대문구 서울 동대문구 망우로18길 36,0,00:00.0,00:00.0,,,Y
18485,,유기농 채식휴게음식점 마주이야기,3080000,강북구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.6368705,127.012307,,,,서울특별시 강북구 서울특별시 강북구 인수봉로55길 10 2층,0,00:00.0,00:00.0,,,Y
18572,,베지스,3120000,서대문구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5768384,126.931211,0507-1343-9312,,,서울특별시 서대문구 서울 서대문구 홍연길 87 1층(연희동),0,00:00.0,00:00.0,,,Y
18538,,포포브레드,3130000,마포구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5545705,126.917104,0507-1338-2044,,,"서울특별시 마포구 서울특별시 마포구 동교로18길 13, 세원빌딩 1층 ",0,00:00.0,00:00.0,,,Y
18533,,더브레드블루(신촌),3130000,마포구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5551595,126.93278,0507-1425-0723,,,서울특별시 마포구 서울특별시 마포구 신촌로12다길 3 ,0,00:00.0,00:00.0,,,Y
18586,,비건다움 제과점,3130000,마포구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5691546,126.913251,0507-1432-9884,,,서울특별시 마포구 서울 마포구 성암로 28 Agate 상가 104호,0,00:00.0,00:00.0,,,Y
18583,,두두리두팡,3130000,마포구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5569067,126.907919,070-8810-2379,,,서울특별시 마포구 서울 마포구 월드컵로23길 19 1층 두두리두팡,0,00:00.0,00:00.0,,,Y
18575,,줄리아스케이크룸,3130000,마포구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5485707,126.938829,0507-1377-0941,,,서울특별시 마포구 서울 마포구 광성로6길 30 1층,0,00:00.0,00:00.0,,,Y
18508,,써니보울,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5557463,126.947467,070-8744-4250,,,"서울특별시 마포구 서울특별시 마포구 숭문16길 18, 1층",0,00:00.0,00:00.0,,,Y
18579,,베지 스튜디오,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.545487,126.946616,0507-1320-1976,,,서울특별시 마포구 서울 마포구 백범로 152 202동 1층 13호,0,00:00.0,00:00.0,,,Y
18549,,카멜스 키친,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5521886,126.906894,02-6326-3200,,,"서울특별시 마포구 서울특별시 마포구 포은로 52-1, 2호",0,00:00.0,00:00.0,,,Y
18529,,셰발레리,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5520668,126.906964,02-6013-0269,,,서울특별시 마포구 서울특별시 마포구 포은로 52 ,0,00:00.0,00:00.0,,,Y
18531,,대안부엌 풀,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5550251,126.905043,0507-1330-3780,,,"서울특별시 마포구 서울특별시 마포구 포은로 89, 2층",0,00:00.0,00:00.0,,,Y
18534,,점점점점점점,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5772358,126.89621,0507-1318-5971,,,"서울특별시 마포구 서울특별시 마포구 성암로15길 36, 1층",0,00:00.0,00:00.0,,,Y
18542,,베이스 이즈 나이스,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5396362,126.949096,0507-1306-6724,,,서울특별시 마포구 서울특별시 마포구 도화2길 20,0,00:00.0,00:00.0,,,Y
18548,,슬런치 팩토리,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5650957,126.924136,02-325-8843,,,서울특별시 마포구 서울특별시 마포구 성미산로 161-6,0,00:00.0,00:00.0,,,Y
18573,,슬금슬금,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5604549,126.915823,0507-1361-5775,,,서울특별시 마포구 서울 마포구 월드컵북로 75 1층,0,00:00.0,00:00.0,,,Y
18501,,드렁큰비건,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5541625,126.929956,070-7543-8101,,,서울특별시 마포구 서울특별시 마포구 와우산로30길 13 ,0,00:00.0,00:00.0,,,Y
18502,,슬금슬금,3130000,마포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5604549,126.915823,0507-1361-5575,,,서울특별시 마포구 서울 마포구 월드컵북로 75 1층,0,00:00.0,00:00.0,,,Y
18551,,공간녹음,3150000,강서구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.559627,126.832694,0507-1327-6998,,,서울특별시 강서구 서울특별시 강서구 공항대로 227 403호,0,00:00.0,00:00.0,,,Y
18518,,아승지,3180000,영등포구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5078459,126.911203,0507-1400-7595,,,서울특별시 영등포구 서울특별시 영등포구 신길로 176 ,0,00:00.0,00:00.0,,,Y
18505,,휘게라이프,3200000,관악구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.4749657,126.976925,0507-1350-6394,,,서울특별시 관악구 서울 관악구 남현길 37 2층(남현동),0,00:00.0,00:00.0,,,Y
18488,,비건마마,3200000,관악구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.4825741,126.950958,0507-1496-2218,,,"서울특별시 관악구 서울특별시 관악구 봉천로 457-1, 1층 ",0,00:00.0,00:00.0,,,Y
18581,,스왈로 베이커리 휴게음식점,3210000,서초구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.4843786,127.014454,02-6092-8575,,,서울특별시 서초구 서울 서초구 효령로 276 203호,0,00:00.0,00:00.0,,,Y
18556,,더래빗,3210000,서초구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.4796811,126.983404,0507-1353-7847,,,서울특별시 서초구 서울 서초구 방배천로4안길 38 1층,0,00:00.0,00:00.0,,,Y
18555,,휴게음식점 거북이,3210000,서초구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.4801895,126.983416,070-4015-5314,,,서울특별시 서초구 서울특별시 서초구 방배천로4안길 48 ,0,00:00.0,00:00.0,,,Y
18587,,플랫오,3210000,서초구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4765354,127.040134,0507-1351-0299,,,서울특별시 서초구 서울 서초구 양재천로 103-1 1층 (서울특별시 서초구 양재동 97-5 1층),0,00:00.0,00:00.0,,,Y
18535,,천년식향(밀레니얼 다이닝),3210000,서초구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4854203,127.018966,,,,서울특별시 서초구 서울특별시 서초구 효령로 316-1 3층,0,00:00.0,00:00.0,,,Y
18537,,푸드 더즈 매터 (Food does Matter),3210000,서초구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4962399,126.997632,02-593-3322,,,서울특별시 서초구 서울특별시 서초구 서래로1길 10 ,0,00:00.0,00:00.0,,,Y
18543,,홀썸,3210000,서초구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.47629,127.037915,0507-1429-1177,,,"서울특별시 서초구 서울특별시 서초구 양재천로19길 19, 1층 ",0,00:00.0,00:00.0,,,Y
18490,,남미플랜트랩,3210000,서초구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4806227,126.983234,,,,서울특별시 서초구 서울특별시 서초구 방배천로4안길55 2층,0,00:00.0,00:00.0,,,Y
18500,,비건비거닝,3220000,강남구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5030264,127.049108,02-740-5060,,,서울특별시 강남구 서울 강남구 선릉로85길 6 호텔뉴브 1층 비건비거닝,0,00:00.0,00:00.0,,,Y
18491,,콜리플라워,3220000,강남구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5189217,127.021113,02-515-1345,,,서울특별시 강남구 서울 강남구 압구정로2길 45 플라워베이커리 내,0,00:00.0,00:00.0,,,Y
18578,,노르디,3220000,강남구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5233988,127.031486,0507-1420-3320,,,서울특별시 강남구 서울 강남구 도산대로37길 36 지상1층,0,00:00.0,00:00.0,,,Y
18515,,러빙헛 휴게음식점,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4768939,127.04944,02-576-2158,,,서울특별시 강남구 서울특별시 강남구 개포로22길 35 ,0,00:00.0,00:00.0,,,Y
18516,,러빙헛 랜드,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4767506,127.0477,0507-1402-0512,,,서울특별시 강남구 서울특별시 강남구 논현로16길 17,0,00:00.0,00:00.0,,,Y
18585,,썬더버드 청담점,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5261878,127.041701,0507-1436-1377,,,서울특별시 강남구 서울 강남구 압구정로60길 18,0,00:00.0,00:00.0,,,Y
18568,,베지그린,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4769745,127.047358,0507-1403-6316,,,서울특별시 강남구 서울 강남구 개포로20길 24-10 광민빌딩 1층,0,00:00.0,00:00.0,,,Y
18545,,플랜튜드,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5120183,127.059036,02-551-3933,,,"서울특별시 강남구 서울특별시 강남구 영동대로 513, 스타필드 지하1층 I-111호",0,00:00.0,00:00.0,,,Y
18546,,음 이터리&베이커리,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4846756,127.045474,0507-1402-2048,,,"서울특별시 강남구 서울특별시 강남구 논현로28길 47, 1층",0,00:00.0,00:00.0,,,Y
18547,,스타일비건,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.518782,127.040043,1800-2361,,,"서울특별시 강남구 서울특별시 강남구 선릉로135길 6, 2층",0,00:00.0,00:00.0,,,Y
18492,,레왇,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5195659,127.01909,0507-1365-1567,,,"서울특별시 강남구 서울특별시 강남구 강남대로 652, 지상 2층 207-2호",0,00:00.0,00:00.0,,,Y
18489,,마히나 비건 테이블,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.4955534,127.03009,070-8880-4321,,,서울특별시 강남구 서울특별시 강남구 테헤란로4길 46 쌍용플래티넘밸류B1-139호,0,00:00.0,00:00.0,,,Y
18493,,달리아 다이닝,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5232352,127.035758,070-4482-0102,,,서울특별시 강남구 서울 강남구 도산대로45길 14 2층 달리아 다이닝,0,00:00.0,00:00.0,,,Y
18494,,핀치 브런치바,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5214919,127.02058,0507-1390-0526,,,서울특별시 강남구 서울특별시 강남구 압구정로4길 19 ,0,00:00.0,00:00.0,,,Y
18495,,마히나 비건 테이블,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5236618,127.023039,0507-1371-5331,,,서울특별시 강남구 서울특별시 강남구 논현로175길 75 2층 ,0,00:00.0,00:00.0,,,Y
18497,,닥터비건,3220000,강남구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5219086,127.04461,0507-1413-2994,,,서울특별시 강남구 서울특별시 강남구 도산대로68길 25,0,00:00.0,00:00.0,,,Y
18511,,비건네이처,3230000,송파구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5066958,127.106287,02-2138-0111,,,"서울특별시 송파구 서울 송파구 송파대로 448-1 102, 103호",0,00:00.0,00:00.0,,,Y
18576,,오도브,3230000,송파구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5033885,127.12846,0507-1427-3475,,,서울특별시 송파구 서울 송파구 중대로27길 1 1층,0,00:00.0,00:00.0,,,Y
18487,,루티드,3230000,송파구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5114745,127.11144,070-8844-1707,,,서울특별시 송파구 서울특별시 송파구 오금로17길 7 1층,0,00:00.0,00:00.0,,,Y
18552,,포리스트 키친,3230000,송파구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.5137076,127.104304,02-3213-4626,,,"서울특별시 송파구 서울특별시 송파구 올림픽로 300, 롯데월드몰 6층",0,00:00.0,00:00.0,,,Y
18536,,우부래도 배지찬,3190000,동작구,104,휴게음식점,10401,과자점,,14,채식음식점,2024-11-15,Y,Y,,37.5031359,126.94864,0507-1428-0599,,,서울특별시 동작구 서울특별시 동작구 상도로37길 3 ,0,00:00.0,00:00.0,,,Y
18530,,전환마을부엌 밥풀꽃,3110000,은평구,101,일반음식점,10101,한식,,14,채식음식점,2024-11-15,Y,Y,,37.610685,126.916088,02-387-1129,,,"서울특별시 은평구 서울특별시 은평구 연서로15길 8, 1층 ",0,00:00.0,00:00.0,,,Y
18055,,명품정육,3130000,마포구,501,식육즉석판매가공업,50101,정육점,김대섭,19,우리동네 모범정육점,2024-05-23,Y,Y,,37.5539674,126.947639,,,,"서울특별시 마포구 대흥로24길 24, 에이동 B3층 111호",서울 제2024-01013호,00:00.0,00:00.0,,,Y
